seat,weighted_avg_share,trend,native_model_prob,loyalty_score,backtest_probability,backtest_prediction,original_prediction,actual_non_bn,original_probability,backtest_correct,original_correct
N.01 Buloh Kasap,0.341,-0.068,0.113,0.104,0.10857347436380735,BN,0,0,0.02,True,True
N.02 Jementah,0.495,-0.04,0.902,0.328,0.6152729133804997,non-BN,0,0,0.306,False,True
N.03 Pemanis,0.365,-0.06,0.173,0.108,0.1400942945877795,BN,0,0,0.02,True,True
N.04 Kemelah,0.412,0.053,0.185,0.243,0.213745475453418,BN,0,0,0.05,True,True
N.05 Tenang,0.466,0.131,0.213,0.355,0.2840628728094994,BN,0,0,0.077,True,True
N.06 Bekok,0.423,-0.173,0.554,0.233,0.3933503490625625,BN,1,0,0.756,True,False
N.07 Bukit Kepong,0.379,0.249,0.116,0.251,0.18317372273741242,BN,0,0,0.001,True,True
N.08 Bukit Pasir,0.31,-0.104,0.132,0.033,0.08225590968244335,BN,0,0,0.006,True,True
N.09 Gambir,0.396,-0.154,0.171,0.104,0.13762532011347595,BN,0,0,0.001,True,True
N.10 Tangkak,0.505,-0.081,0.873,0.32,0.5964992217769718,non-BN,0,0,0.314,False,True
N.11 Serom,0.37,-0.088,0.13,0.083,0.10655385834411621,BN,0,0,0.001,True,True
N.12 Bentayan,0.691,0.055,0.908,0.623,0.7656301015126622,non-BN,1,1,0.82,True,True
N.13 Simpang Jeram,0.519,-0.139,0.746,0.26,0.5027114343488825,non-BN,1,1,0.731,True,True
N.14 Bukit Naning,0.359,-0.13,0.17,0.065,0.11767474070003094,BN,0,0,0.001,True,True
N.15 Maharani,0.45,-0.195,0.123,0.131,0.12700554898741298,BN,0,0,0.001,True,True
N.16 Sungai Balang,0.336,-0.228,0.041,0.0,0.02064623452423331,BN,0,0,0.001,True,True
N.17 Semerah,0.346,-0.156,0.111,0.0,0.055365439533336,BN,0,0,0.001,True,True
N.18 Sri Medan,0.196,-0.208,0.015,0.0,0.00750066536406953,BN,0,0,0.001,True,True
N.19 Yong Peng,0.484,-0.027,0.634,0.346,0.49014080361220946,BN,1,0,0.793,True,False
N.20 Semarang,0.188,-0.146,0.011,0.0,0.005568138626279313,BN,0,0,0.001,True,True
N.21 Parit Yaani,0.454,0.002,0.328,0.255,0.2915837901244319,BN,0,0,0.067,True,True
N.22 Parit Raja,0.384,0.128,0.029,0.179,0.10407900453700497,BN,0,0,0.001,True,True
N.23 Penggaram,0.583,0.048,0.885,0.475,0.6801074520444398,non-BN,1,1,0.956,True,True
N.24 Senggarang,0.377,-0.13,0.162,0.089,0.12568260583047774,BN,0,0,0.003,True,True
N.25 Rengit,0.24,-0.153,0.013,0.0,0.006500638520176266,BN,0,0,0.001,True,True
N.26 Machap,0.415,0.102,0.07,0.23,0.1502483179212634,BN,0,0,0.001,True,True
N.27 Layang-Layang,0.394,-0.05,0.089,0.171,0.1298483362631142,BN,0,0,0.019,True,True
