week,n_articles,bn_sentiment,harapan_sentiment,pn_sentiment,racial_tension,bn_momentum,harapan_momentum,pn_momentum
2026-05-11/2026-05-17,3,-0.0667,-0.1333,0.3333,0.1333,,,
2026-05-18/2026-05-24,1,-0.1,0.0,0.0,0.0,-0.0333,0.1333,-0.3333
2026-05-25/2026-05-31,4,-0.3,-0.125,0.125,0.0,-0.2,-0.125,0.125
2026-06-01/2026-06-07,4,-0.25,0.25,0.05,0.05,0.05,0.375,-0.075
2026-06-08/2026-06-14,1,-0.1,0.0,0.5,0.0,0.15,-0.25,0.45
2026-06-15/2026-06-21,2,-0.1,0.0,0.25,0.0,0.0,0.0,-0.25
2026-06-22/2026-06-28,1,-0.1,0.1,-0.1,0.0,0.0,0.1,-0.35
2026-06-29/2026-07-05,1,-0.5,0.5,-0.5,0.5,-0.4,0.4,-0.4
2026-07-06/2026-07-12,3,0.1333,-0.1667,0.0333,0.0,0.6333,-0.6667,0.5333
2026-07-13/2026-07-19,5,-0.3,0.02,0.02,0.04,-0.4333,0.1867,-0.0133
2026-07-27/2026-08-02,16,0.2438,-0.3062,0.4125,0.1375,0.5438,-0.3262,0.3925
2026-08-03/2026-08-09,52,-0.1596,0.0942,0.1596,0.1308,-0.4034,0.4004,-0.2529
