seat_name,winner_2023,ph_share_2008,ph_share_2013,ph_share_2018,ph_share_recent,weighted_avg_share,trend,native_model_prob,loyalty_score,volatility,harapan_holds_probability,is_ood,malay_pct,chinese_pct,indian_pct,vulnerability
N.01 Sungai Air Tawar,BN,,,,,0.5,0.0,0.093,0.193,0.0,0.14322515442508363,False,0.843,0.122,0.027,🔴 SAFE OPPOSITION
N.02 Sabak,PN,,51.081711218348424,34.87884086934799,,0.414,-0.162,0.075,0.043,0.081,0.05890169858561728,False,0.795,0.136,0.062,🔴 SAFE OPPOSITION
N.03 Sungai Panjang,PN,,,,,0.5,0.0,0.054,0.204,0.0,0.12888198312159238,False,0.813,0.161,0.016,🔴 SAFE OPPOSITION
N.04 Sekinchan,PH,50.894875659382066,58.01073345259392,51.61819733473381,62.21573634926426,0.571,0.113,0.95,0.468,0.047,0.7086899936035157,False,0.439,0.517,0.029,🟢 LIKELY HARAPAN
N.05 Hulu Bernam,PN,,,,,0.5,0.0,0.056,0.245,0.0,0.15051943846880927,False,0.701,0.149,0.131,🔴 SAFE OPPOSITION
N.06 Kuala Kubu Baharu,PH,,53.46394895827452,57.85262985148108,54.40368987480782,0.553,0.009,0.98,0.39,0.019,0.6849405887302897,False,0.461,0.309,0.181,🟢 LIKELY HARAPAN
N.07 Batang Kali,PN,,,51.07553658247361,,0.511,0.0,0.067,0.261,0.0,0.16359759849819883,False,0.687,0.13,0.142,🔴 SAFE OPPOSITION
N.08 Sungai Burong,PN,,,,,0.5,0.0,0.058,0.197,0.0,0.12728597168448727,False,0.832,0.129,0.025,🔴 SAFE OPPOSITION
N.09 Permatang,PN,,,46.030793841231755,,0.46,0.0,0.339,0.231,0.0,0.2849443870974676,False,0.63,0.216,0.14,🟠 LIKELY OPPOSITION
N.10 Bukit Melawati,PN,51.616766467065865,,48.751433865701934,,0.495,-0.029,0.187,0.261,0.014,0.22413193351400257,False,0.602,0.155,0.22,🟠 LIKELY OPPOSITION
N.11 Ijok,PN,57.697241821680564,52.266176019625874,45.17534968578958,,0.496,-0.125,0.164,0.21,0.051,0.18717905252498251,False,0.614,0.133,0.244,🔴 SAFE OPPOSITION
N.12 Jeram,PN,,,40.944017563117455,,0.409,0.0,0.126,0.119,0.0,0.12264561785888875,False,0.798,0.069,0.121,🔴 SAFE OPPOSITION
N.13 Kuang,PN,,,43.6662822673645,,0.437,0.0,0.134,0.158,0.0,0.14594558880163344,False,0.766,0.101,0.085,🔴 SAFE OPPOSITION
N.14 Rawang,PH,59.99656081623294,66.81710646041856,76.91280339026582,74.35362010706557,0.722,0.144,0.98,0.679,0.066,0.829643045951401,False,0.314,0.39,0.259,🟢 SAFE HARAPAN
N.15 Taman Templer,PH,,58.22907322600444,50.181738678910115,49.66735131273442,0.517,-0.086,0.814,0.259,0.039,0.5367810024425927,False,0.591,0.221,0.147,⚪ TOSS-UP
N.16 Sungai Tua,PH,58.68407032498668,55.91546589817483,61.61180957762396,56.87118869396838,0.583,-0.018,0.711,0.365,0.022,0.5384057658679039,False,0.572,0.125,0.233,⚪ TOSS-UP
N.17 Gombak Setia,PN,55.38195112564941,52.110059498405846,51.367270562218245,,0.523,-0.04,0.086,0.257,0.017,0.1714479120648958,False,0.674,0.117,0.094,🔴 SAFE OPPOSITION
N.18 Hulu Kelang,PN,53.721141103438654,53.624902488739025,58.89376887180895,,0.563,0.052,0.103,0.29,0.025,0.19651921092027413,False,0.82,0.086,0.04,🔴 SAFE OPPOSITION
N.19 Bukit Antarabangsa,PH,53.12712286581224,56.98204419889503,79.64113537343061,65.85626845867397,0.669,0.127,0.916,0.563,0.102,0.739375822304965,False,0.467,0.41,0.072,🟢 LIKELY HARAPAN
N.20 Lembah Jaya,PH,53.959340346886556,60.4580262620928,59.60443750165479,57.27165817326538,0.583,0.033,0.921,0.392,0.025,0.6565071247149659,False,0.569,0.23,0.122,🟢 LIKELY HARAPAN
N.21 Pandan Indah,PH,52.182605798067314,63.11636542346967,60.82668033887546,59.95010967270225,0.601,0.078,0.931,0.438,0.041,0.6846115352515093,False,0.553,0.308,0.075,🟢 LIKELY HARAPAN
N.22 Teratai,PH,67.54481142311532,66.38324229967904,76.91431888199313,80.06590716505038,0.751,0.125,0.967,0.716,0.059,0.8416678759132161,False,0.268,0.615,0.082,🟢 SAFE HARAPAN
N.23 Dusun Tua,BN,,55.05701721696356,53.15602752446487,,0.539,-0.019,0.669,0.322,0.01,0.49517831054366146,False,0.572,0.285,0.075,⚪ TOSS-UP
N.24 Semenyih,PN,,,50.763797100821215,,0.508,0.0,0.084,0.257,0.0,0.17074902870517072,False,0.688,0.149,0.131,🔴 SAFE OPPOSITION
N.25 Kajang,PH,57.05161401691697,57.98986636641086,71.58830537989185,70.36147672552167,0.669,0.133,0.984,0.594,0.067,0.7887986688334547,False,0.391,0.433,0.144,🟢 LIKELY HARAPAN
N.26 Sungai Ramal,PN,60.97483161999291,62.7120828143121,51.31249478340706,,0.567,-0.097,0.064,0.241,0.05,0.15247095946685132,False,0.763,0.095,0.093,🔴 SAFE OPPOSITION
N.27 Balakong,PH,60.96,67.24834729545272,77.53192753192754,76.21469552925525,0.733,0.153,0.977,0.688,0.068,0.8324551830022258,False,0.333,0.553,0.092,🟢 SAFE HARAPAN
N.28 Seri Kembangan,PH,64.05062267507682,83.72334575670557,90.79454064391061,89.30395841303418,0.861,0.253,0.978,0.947,0.107,0.9624177038199426,False,0.111,0.787,0.089,🟢 SAFE HARAPAN
N.29 Seri Serdang,PH,,62.85212659949701,59.71123112531688,56.76590191794125,0.591,-0.061,0.939,0.358,0.025,0.6488630957758981,False,0.555,0.292,0.123,🟡 LEAN HARAPAN
