seat,election_year,total_voters,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age,state
N.01 Buloh Kasap,2022,28481,0.5587,0.3153,0.1102,0.2411,0.1098,0.1767,0.2401,40.0,johor
N.02 Jementah,2022,41221,0.4032,0.5045,0.0811,0.1744,0.1311,0.1315,0.2045,44.0,johor
N.03 Pemanis,2022,29923,0.624,0.3346,0.0244,0.2467,0.1025,0.1969,0.2257,42.0,johor
N.04 Kemelah,2022,33702,0.536,0.3948,0.0552,0.2352,0.1561,0.1556,0.2774,39.0,johor
N.05 Tenang,2022,22613,0.4833,0.3797,0.1125,0.1801,0.1157,0.1803,0.2128,43.0,johor
N.06 Bekok,2022,27426,0.2858,0.4873,0.1866,0.1248,0.1261,0.092,0.2087,44.0,johor
N.07 Bukit Kepong,2022,37495,0.6955,0.2605,0.0272,0.2767,0.0698,0.2377,0.22,42.0,johor
N.08 Bukit Pasir,2022,32213,0.6198,0.3316,0.0419,0.2694,0.1203,0.195,0.2804,40.0,johor
N.09 Gambir,2022,29434,0.5904,0.3653,0.0377,0.2487,0.1137,0.1968,0.249,42.0,johor
N.10 Tangkak,2022,35554,0.3971,0.4804,0.1003,0.1772,0.1546,0.1192,0.2527,41.0,johor
N.11 Serom,2022,39018,0.6662,0.3163,0.0099,0.2892,0.1024,0.2169,0.2634,40.0,johor
N.12 Bentayan,2022,34728,0.2612,0.7087,0.0233,0.105,0.1704,0.0862,0.1787,48.0,johor
N.13 Simpang Jeram,2022,40014,0.5214,0.4438,0.0254,0.2311,0.1788,0.1587,0.2782,39.0,johor
N.14 Bukit Naning,2022,22594,0.6297,0.3518,0.0096,0.2499,0.101,0.2152,0.2303,42.0,johor
N.15 Maharani,2022,38596,0.6103,0.3561,0.0223,0.2572,0.1184,0.2004,0.2516,41.0,johor
N.16 Sungai Balang,2022,30121,0.7313,0.2581,0.0017,0.2951,0.0815,0.2478,0.2502,41.0,johor
N.17 Semerah,2022,46640,0.7364,0.249,0.0053,0.2987,0.0434,0.2545,0.2306,44.0,johor
N.18 Sri Medan,2022,32696,0.8949,0.0856,0.003,0.3648,0.0248,0.3009,0.2665,40.0,johor
N.19 Yong Peng,2022,33053,0.3415,0.577,0.0697,0.158,0.1821,0.101,0.2482,42.0,johor
N.20 Semarang,2022,27734,0.856,0.1262,0.0076,0.3508,0.0374,0.2862,0.2674,40.0,johor
N.21 Parit Yaani,2022,41851,0.5501,0.4284,0.0096,0.2559,0.1837,0.1634,0.3072,38.0,johor
N.22 Parit Raja,2022,36059,0.7379,0.2349,0.018,0.3322,0.0739,0.2335,0.2887,40.0,johor
N.23 Penggaram,2022,69092,0.3613,0.6067,0.0228,0.1538,0.202,0.1136,0.2293,42.0,johor
N.24 Senggarang,2022,37374,0.6105,0.3554,0.0067,0.2622,0.1179,0.194,0.262,41.0,johor
N.25 Rengit,2022,27123,0.7998,0.1704,0.0022,0.3157,0.0501,0.2811,0.247,41.0,johor
N.26 Machap,2022,33764,0.6481,0.2813,0.0533,0.2944,0.0922,0.195,0.2758,39.0,johor
N.27 Layang-Layang,2022,25147,0.546,0.2971,0.1307,0.236,0.0714,0.1702,0.2231,42.0,johor
N.28 Mengkibol,2022,66362,0.2802,0.5787,0.1314,0.1356,0.1731,0.0741,0.2378,43.0,johor
N.29 Mahkota,2022,65074,0.545,0.345,0.077,0.2445,0.1185,0.1509,0.2582,39.0,johor
N.30 Paloh,2022,25831,0.4572,0.3583,0.1557,0.179,0.0871,0.1468,0.2033,43.0,johor
N.31 Kahang,2022,29343,0.7289,0.2104,0.028,0.3142,0.0573,0.1982,0.2344,39.0,johor
N.32 Endau,2022,27924,0.794,0.1392,0.0075,0.3366,0.0474,0.2552,0.2684,39.0,johor
N.33 Tenggaroh,2022,38408,0.8251,0.137,0.0148,0.3575,0.0318,0.2081,0.2266,38.0,johor
N.34 Panti,2022,38408,0.7659,0.1457,0.0589,0.3415,0.0557,0.2023,0.2919,38.0,johor
N.35 Pasir Raja,2022,28045,0.6813,0.1906,0.0866,0.3109,0.0675,0.2011,0.2941,38.0,johor
N.36 Sedili,2022,28659,0.9605,0.0162,0.0079,0.3771,0.0017,0.2739,0.2269,39.0,johor
N.37 Johor Lama,2022,32658,0.8222,0.1363,0.026,0.3073,0.0229,0.2484,0.2074,41.0,johor
N.38 Penawar,2022,29933,0.9731,0.0033,0.0073,0.3524,0.0014,0.2823,0.2292,41.0,johor
N.39 Tanjung Surat,2022,25132,0.8007,0.1748,0.0071,0.2922,0.0429,0.2163,0.2027,41.0,johor
N.40 Tiram,2022,105707,0.5483,0.2553,0.1244,0.289,0.0973,0.1243,0.3513,36.0,johor
N.41 Puteri Wangsa,2022,112804,0.3568,0.513,0.1052,0.1856,0.2305,0.0848,0.344,37.0,johor
N.42 Johor Jaya,2022,91882,0.3914,0.462,0.0792,0.1802,0.1645,0.1093,0.2814,39.0,johor
N.43 Permas,2022,103598,0.5252,0.2733,0.1226,0.2593,0.1081,0.1308,0.3196,38.0,johor
