seat,election_year,total_voters,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age,state
N.01 Buloh Kasap,2026,28973,0.5666,0.3139,0.1034,0.2196,0.1004,0.1789,0.2125,41.0,johor
N.02 Jementah,2026,41137,0.4182,0.4916,0.0773,0.1693,0.1155,0.135,0.1864,45.0,johor
N.03 Pemanis,2026,30458,0.6351,0.326,0.0221,0.229,0.095,0.2088,0.2083,43.0,johor
N.04 Kemelah,2026,35365,0.5486,0.3821,0.0557,0.2279,0.1384,0.1637,0.2533,40.0,johor
N.05 Tenang,2026,22616,0.4965,0.3683,0.1113,0.1756,0.1037,0.1914,0.1964,44.0,johor
N.06 Bekok,2026,27317,0.2996,0.474,0.1867,0.126,0.1126,0.0947,0.1889,45.0,johor
N.07 Bukit Kepong,2026,37683,0.7057,0.252,0.0259,0.2506,0.0632,0.2459,0.198,43.0,johor
N.08 Bukit Pasir,2026,34142,0.627,0.3253,0.0413,0.2607,0.1165,0.2017,0.2581,41.0,johor
N.09 Gambir,2026,30326,0.5998,0.3569,0.0367,0.2412,0.1075,0.2053,0.234,42.0,johor
N.10 Tangkak,2026,36955,0.4116,0.4674,0.0992,0.1778,0.1433,0.1239,0.234,42.0,johor
N.11 Serom,2026,40172,0.6739,0.3091,0.0094,0.2755,0.0933,0.2234,0.236,41.0,johor
N.12 Bentayan,2026,34205,0.27,0.6999,0.0235,0.1021,0.1574,0.0908,0.1642,49.0,johor
N.13 Simpang Jeram,2026,41975,0.5201,0.4469,0.0243,0.2155,0.171,0.1617,0.251,40.0,johor
N.14 Bukit Naning,2026,23002,0.6371,0.3453,0.0091,0.2391,0.0918,0.2227,0.2099,43.0,johor
N.15 Maharani,2026,40040,0.6184,0.349,0.0213,0.2458,0.1086,0.2041,0.2292,42.0,johor
N.16 Sungai Balang,2026,31039,0.7385,0.2513,0.0016,0.2848,0.0727,0.2549,0.2274,42.0,johor
N.17 Semerah,2026,47431,0.7529,0.233,0.005,0.2915,0.0399,0.2665,0.2138,44.0,johor
N.18 Sri Medan,2026,33875,0.9003,0.0813,0.0027,0.3507,0.0221,0.3119,0.2434,41.0,johor
N.19 Yong Peng,2026,34023,0.3523,0.5676,0.0684,0.1551,0.1721,0.1043,0.2262,43.0,johor
N.20 Semarang,2026,28753,0.8628,0.1203,0.0071,0.3428,0.0338,0.2933,0.2493,41.0,johor
N.21 Parit Yaani,2026,44741,0.5522,0.4278,0.0089,0.2499,0.1736,0.1666,0.2799,39.0,johor
N.22 Parit Raja,2026,38159,0.7491,0.2255,0.0168,0.3345,0.0684,0.238,0.2705,40.0,johor
N.23 Penggaram,2026,70294,0.3656,0.6034,0.0219,0.1438,0.1827,0.1167,0.2005,44.0,johor
N.24 Senggarang,2026,38576,0.6177,0.3496,0.0066,0.256,0.1112,0.2002,0.244,41.0,johor
N.25 Rengit,2026,27608,0.8054,0.1659,0.0021,0.3027,0.0454,0.2844,0.2258,42.0,johor
N.26 Machap,2026,35206,0.6597,0.2698,0.0539,0.2851,0.0831,0.2019,0.2467,40.0,johor
N.27 Layang-Layang,2026,25181,0.5688,0.2826,0.1235,0.2311,0.0624,0.1789,0.2029,43.0,johor
N.28 Mengkibol,2026,68457,0.3033,0.5587,0.1285,0.1399,0.1572,0.0792,0.2156,44.0,johor
N.29 Mahkota,2026,67562,0.5567,0.3351,0.0765,0.2383,0.1079,0.157,0.2377,40.0,johor
N.30 Paloh,2026,25419,0.471,0.3485,0.1535,0.1719,0.0771,0.1573,0.1856,45.0,johor
N.31 Kahang,2026,29814,0.7421,0.1991,0.027,0.2771,0.048,0.2072,0.2037,41.0,johor
N.32 Endau,2026,28767,0.8015,0.1344,0.0067,0.3218,0.0424,0.2592,0.2429,40.0,johor
N.33 Tenggaroh,2026,39001,0.8344,0.1278,0.0141,0.3119,0.0276,0.2073,0.2075,40.0,johor
N.34 Panti,2026,41407,0.7775,0.1379,0.0561,0.3338,0.0495,0.2161,0.274,39.0,johor
N.35 Pasir Raja,2026,29818,0.6935,0.183,0.0832,0.3179,0.062,0.2072,0.2796,39.0,johor
N.36 Sedili,2026,29090,0.9653,0.0137,0.0065,0.3364,0.0011,0.2894,0.2105,41.0,johor
N.37 Johor Lama,2026,32716,0.8338,0.1281,0.0242,0.2843,0.0191,0.2707,0.1963,43.0,johor
N.38 Penawar,2026,31112,0.9744,0.0031,0.0072,0.3391,0.0013,0.313,0.2302,42.0,johor
N.39 Tanjung Surat,2026,26943,0.8126,0.1541,0.0074,0.3013,0.0366,0.2215,0.2401,41.0,johor
N.40 Tiram,2026,117496,0.5724,0.2446,0.1164,0.3107,0.0915,0.1354,0.3355,36.0,johor
N.41 Puteri Wangsa,2026,128723,0.363,0.5155,0.0989,0.1887,0.2309,0.0884,0.3289,37.0,johor
N.42 Johor Jaya,2026,97685,0.401,0.4553,0.0782,0.1831,0.1511,0.1139,0.2556,40.0,johor
N.43 Permas,2026,113963,0.5467,0.2643,0.1148,0.2732,0.0983,0.1397,0.302,38.0,johor
N.44 Larkin,2026,76662,0.6364,0.2675,0.0664,0.2196,0.0512,0.2336,0.1843,45.0,johor
N.45 Stulang,2026,60029,0.3884,0.5269,0.0478,0.129,0.1001,0.1449,0.1554,49.0,johor
N.46 Perling,2026,109992,0.3702,0.4695,0.1332,0.1478,0.181,0.1204,0.2676,41.0,johor
N.47 Kempas,2026,64244,0.5689,0.294,0.1084,0.2248,0.0772,0.1832,0.2196,43.0,johor
N.48 Skudai,2026,106805,0.2243,0.6113,0.1405,0.0929,0.189,0.0673,0.2151,44.0,johor
N.49 Kota Iskandar,2026,132579,0.497,0.3408,0.1403,0.2564,0.1454,0.1165,0.3226,37.0,johor
N.50 Bukit Permai,2026,44819,0.5431,0.3075,0.1304,0.2648,0.1244,0.1469,0.3227,38.0,johor
N.51 Bukit Batu,2026,49963,0.3776,0.5219,0.0846,0.1963,0.1912,0.0945,0.2886,39.0,johor
N.52 Senai,2026,66635,0.2946,0.551,0.1276,0.1441,0.1633,0.079,0.2395,43.0,johor
N.53 Benut,2026,28798,0.8129,0.1615,0.0015,0.3068,0.0436,0.2781,0.225,42.0,johor
N.54 Pulai Sebatang,2026,47651,0.6262,0.3328,0.0145,0.2464,0.0872,0.205,0.2177,43.0,johor
N.55 Pekan Nanas,2026,37556,0.5618,0.41,0.0112,0.2424,0.1219,0.1713,0.2433,42.0,johor
N.56 Kukup,2026,34968,0.6045,0.3677,0.0088,0.2264,0.1032,0.2134,0.2111,43.0,johor
