seat,election_year,state,total_voters,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age
N.01 Kuala Linggi,2021,melaka,14791,0.7139,0.2124,0.0147,0.3067,0.0611,0.2098,0.2769,39.0
N.02 Tanjung Bidara,2021,melaka,14019,0.9252,0.0452,0.019,0.4171,0.0185,0.2749,0.3211,37.0
N.03 Ayer Limau,2021,melaka,15001,0.9047,0.0398,0.0439,0.3954,0.0125,0.2924,0.2897,38.0
N.04 Lendu,2021,melaka,14262,0.766,0.1668,0.0488,0.3516,0.0539,0.2249,0.2939,38.0
N.05 Taboh Naning,2021,melaka,11101,0.785,0.121,0.0601,0.3023,0.0331,0.2843,0.2559,41.0
N.06 Rembia,2021,melaka,21894,0.6662,0.1786,0.1469,0.3188,0.0563,0.1823,0.3076,37.0
N.07 Gadek,2021,melaka,16344,0.6085,0.2083,0.1707,0.2532,0.0428,0.2122,0.249,42.0
N.08 Machap Jaya,2021,melaka,15880,0.4561,0.3741,0.1404,0.2066,0.1015,0.1426,0.2453,41.0
N.09 Durian Tunggal,2021,melaka,19189,0.668,0.2321,0.086,0.309,0.0947,0.1791,0.319,37.0
N.10 Asahan,2021,melaka,20004,0.6408,0.2194,0.1136,0.2641,0.0599,0.1952,0.2482,41.0
N.11 Sungai Udang,2021,melaka,28257,0.7743,0.0896,0.0276,0.4251,0.0321,0.1117,0.3445,34.0
N.12 Pantai Kundor,2021,melaka,20174,0.7873,0.1628,0.0083,0.3334,0.0373,0.2303,0.2669,40.0
N.13 Paya Rumput,2021,melaka,41144,0.6104,0.3,0.0641,0.3217,0.1393,0.1325,0.3781,34.0
N.14 Kelebang,2021,melaka,26423,0.6688,0.2863,0.0234,0.2997,0.0741,0.1838,0.2636,40.0
N.15 Pengkalan Batu,2021,melaka,25559,0.6408,0.284,0.0577,0.2591,0.0831,0.1991,0.2351,41.0
N.16 Ayer Keroh,2021,melaka,36058,0.424,0.4763,0.0834,0.2239,0.1759,0.0941,0.3004,38.0
N.17 Bukit Katil,2021,melaka,33563,0.6354,0.299,0.0484,0.2949,0.1001,0.1621,0.2866,38.0
N.18 Ayer Molek,2021,melaka,23313,0.8738,0.0721,0.0439,0.4011,0.0228,0.2442,0.3128,37.0
N.19 Kesidang,2021,melaka,52151,0.3695,0.5626,0.0507,0.1813,0.2165,0.0891,0.2939,38.0
N.20 Kota Laksamana,2021,melaka,34949,0.1878,0.7665,0.0353,0.0834,0.1644,0.051,0.1648,49.0
N.21 Duyong,2021,melaka,24506,0.6178,0.32,0.0488,0.3018,0.0986,0.1591,0.294,38.0
N.22 Bandar Hilir,2021,melaka,24421,0.1287,0.7327,0.0641,0.0512,0.1393,0.0405,0.1432,51.0
N.23 Telok Mas,2021,melaka,28113,0.7172,0.2447,0.0216,0.3279,0.0894,0.1966,0.2999,38.0
N.24 Bemban,2021,melaka,24689,0.6055,0.2111,0.173,0.2787,0.0693,0.1708,0.2967,38.0
N.25 Rim,2021,melaka,17256,0.6617,0.1894,0.1339,0.2721,0.0533,0.2266,0.26,41.0
N.26 Serkam,2021,melaka,20440,0.9014,0.0565,0.0303,0.3957,0.015,0.2598,0.2985,38.0
N.27 Merlimau,2021,melaka,18469,0.7002,0.1727,0.118,0.3156,0.0563,0.2012,0.2955,39.0
N.28 Sungai Rambai,2021,melaka,15354,0.8421,0.1316,0.0203,0.3663,0.0388,0.2511,0.2877,39.0
