seat,election_year,total_voters,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age,state
N.01 Chennah,2023,14554,0.4628,0.4428,0.0205,0.1661,0.0871,0.162,0.1862,45.0,neg_sembilan
N.02 Pertang,2023,12897,0.6548,0.1996,0.0668,0.2137,0.0468,0.2153,0.1925,43.0,neg_sembilan
N.03 Sungai Lui,2023,20206,0.7907,0.057,0.0861,0.2972,0.0163,0.2062,0.2428,39.0,neg_sembilan
N.04 Klawang,2023,13163,0.6543,0.2808,0.0382,0.2453,0.0805,0.2456,0.2276,43.0,neg_sembilan
N.05 Serting,2023,30287,0.7767,0.1251,0.0865,0.3487,0.0381,0.2187,0.2391,38.0,neg_sembilan
N.06 Palong,2023,23494,0.9211,0.0163,0.0584,0.3335,0.0029,0.2576,0.1849,39.0,neg_sembilan
N.07 Jeram Padang,2023,16332,0.5109,0.097,0.3366,0.1965,0.0269,0.1523,0.233,41.0,neg_sembilan
N.08 Bahau,2023,25769,0.2957,0.5894,0.1057,0.124,0.1718,0.0958,0.2257,43.0,neg_sembilan
N.09 Lenggeng,2023,27386,0.7567,0.1498,0.0532,0.3458,0.0392,0.2373,0.289,39.0,neg_sembilan
N.10 Nilai,2023,42168,0.4341,0.3193,0.2162,0.2449,0.0966,0.0894,0.3282,38.0,neg_sembilan
N.11 Lobak,2023,23193,0.0428,0.7213,0.2153,0.0185,0.1694,0.0125,0.1594,48.0,neg_sembilan
N.12 Temiang,2023,13085,0.3769,0.4465,0.1483,0.144,0.0769,0.1068,0.1582,47.0,neg_sembilan
N.13 Sikamat,2023,32343,0.705,0.1971,0.0792,0.331,0.0639,0.1909,0.293,38.0,neg_sembilan
N.14 Ampangan,2023,20992,0.7218,0.1593,0.0847,0.26,0.0371,0.2738,0.2201,44.0,neg_sembilan
N.15 Juasseh,2023,13408,0.7952,0.1189,0.0539,0.2954,0.035,0.3097,0.2396,42.0,neg_sembilan
N.16 Seri Menanti,2023,10045,0.9161,0.0245,0.0034,0.2825,0.0033,0.3984,0.2089,46.0,neg_sembilan
N.17 Senaling,2023,9886,0.8013,0.1552,0.036,0.2652,0.0241,0.2883,0.183,44.0,neg_sembilan
N.18 Pilah,2023,17692,0.6529,0.2492,0.0876,0.2499,0.0741,0.2443,0.2217,42.0,neg_sembilan
N.19 Johol,2023,12313,0.7283,0.1631,0.0521,0.2518,0.0366,0.2869,0.2116,44.0,neg_sembilan
N.20 Labu,2023,30478,0.7471,0.0791,0.1388,0.3737,0.0218,0.2089,0.3425,37.0,neg_sembilan
N.21 Bukit Kepayang,2023,46229,0.2659,0.4927,0.2216,0.1571,0.1837,0.0512,0.3168,39.0,neg_sembilan
N.22 Rahang,2023,20182,0.2922,0.4491,0.226,0.1179,0.0718,0.0713,0.1457,49.0,neg_sembilan
N.23 Mambau,2023,28952,0.1358,0.5872,0.2567,0.0551,0.1843,0.0396,0.2105,43.0,neg_sembilan
N.24 Seremban Jaya,2023,32290,0.2407,0.4715,0.2721,0.1329,0.1627,0.0552,0.2848,39.0,neg_sembilan
N.25 Paroi,2023,60704,0.776,0.0621,0.1494,0.407,0.0167,0.1905,0.3453,36.0,neg_sembilan
N.26 Chembong,2023,25625,0.8123,0.0638,0.0999,0.3495,0.0158,0.2773,0.2819,40.0,neg_sembilan
N.27 Rantau,2023,32890,0.5517,0.1572,0.2742,0.2286,0.0489,0.1709,0.2656,40.0,neg_sembilan
N.28 Kota,2023,16510,0.8606,0.0669,0.0518,0.2833,0.0139,0.3579,0.2024,44.0,neg_sembilan
N.29 Chuah,2023,15095,0.2372,0.541,0.2142,0.0976,0.146,0.0796,0.1975,45.0,neg_sembilan
N.30 Lukut,2023,26806,0.2295,0.4922,0.262,0.12,0.1749,0.0564,0.2837,39.0,neg_sembilan
N.31 Bagan Pinang,2023,27790,0.748,0.0682,0.0999,0.4538,0.0196,0.1375,0.4479,32.0,neg_sembilan
N.32 Linggi,2023,20696,0.6096,0.1724,0.1764,0.2436,0.0394,0.1724,0.2195,41.0,neg_sembilan
N.33 Sri Tanjung,2023,19431,0.3744,0.3142,0.2809,0.16,0.0958,0.118,0.2225,43.0,neg_sembilan
N.34 Gemas,2023,29648,0.8337,0.0774,0.0481,0.3498,0.0215,0.1945,0.2434,38.0,neg_sembilan
N.35 Gemencheh,2023,24602,0.6195,0.2216,0.1516,0.2282,0.0654,0.216,0.2253,42.0,neg_sembilan
N.36 Repah,2023,27284,0.3954,0.4138,0.1759,0.1707,0.1397,0.122,0.24,41.0,neg_sembilan
