seat,election_year,total_voters,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age,state
N.01 Chennah,2026,14422,0.4777,0.4257,0.0202,0.1638,0.0759,0.1709,0.1815,46.0,neg_sembilan
N.02 Pertang,2026,12873,0.6643,0.1927,0.0648,0.2059,0.0392,0.2324,0.1831,44.0,neg_sembilan
N.03 Sungai Lui,2026,19684,0.7978,0.0573,0.0812,0.2645,0.0131,0.2251,0.2041,42.0,neg_sembilan
N.04 Klawang,2026,13355,0.663,0.2735,0.0369,0.2446,0.0735,0.2501,0.2162,44.0,neg_sembilan
N.05 Serting,2026,30599,0.7818,0.1204,0.0867,0.3027,0.0326,0.2186,0.2045,40.0,neg_sembilan
N.06 Palong,2026,23555,0.9232,0.0157,0.0573,0.2849,0.0028,0.2579,0.1665,41.0,neg_sembilan
N.07 Jeram Padang,2026,16590,0.5231,0.0929,0.3315,0.1961,0.0254,0.1602,0.2288,42.0,neg_sembilan
N.08 Bahau,2026,25972,0.3035,0.5799,0.1078,0.1246,0.1596,0.0993,0.2108,44.0,neg_sembilan
N.09 Lenggeng,2026,28880,0.7674,0.1422,0.0519,0.331,0.0355,0.2469,0.2597,40.0,neg_sembilan
N.10 Nilai,2026,45911,0.4638,0.2996,0.2084,0.2641,0.0893,0.0972,0.323,38.0,neg_sembilan
N.11 Lobak,2026,23079,0.0458,0.7152,0.2188,0.019,0.1551,0.0135,0.1494,49.0,neg_sembilan
N.12 Temiang,2026,12947,0.3935,0.4332,0.1459,0.1394,0.0715,0.112,0.1478,47.0,neg_sembilan
N.13 Sikamat,2026,34103,0.7165,0.1896,0.0765,0.3201,0.0579,0.2009,0.2678,40.0,neg_sembilan
N.14 Ampangan,2026,21336,0.7283,0.1557,0.0826,0.2536,0.0321,0.2807,0.1991,44.0,neg_sembilan
N.15 Juasseh,2026,13671,0.8038,0.1135,0.0514,0.2855,0.0294,0.3183,0.2162,43.0,neg_sembilan
N.16 Seri Menanti,2026,10105,0.9193,0.0214,0.0033,0.278,0.0025,0.4154,0.1945,46.0,neg_sembilan
N.17 Senaling,2026,9903,0.8126,0.1448,0.0349,0.2527,0.0213,0.2991,0.1779,45.0,neg_sembilan
N.18 Pilah,2026,18034,0.6564,0.2465,0.0873,0.2355,0.0661,0.2481,0.1997,43.0,neg_sembilan
N.19 Johol,2026,12331,0.737,0.1548,0.0523,0.2453,0.0298,0.3024,0.1918,45.0,neg_sembilan
N.20 Labu,2026,32884,0.762,0.0737,0.1326,0.3817,0.0195,0.2185,0.3269,38.0,neg_sembilan
N.21 Bukit Kepayang,2026,49568,0.2819,0.4831,0.2172,0.1637,0.1774,0.0554,0.3011,39.0,neg_sembilan
N.22 Rahang,2026,19715,0.3072,0.4354,0.2246,0.1157,0.0642,0.0789,0.1378,50.0,neg_sembilan
N.23 Mambau,2026,30346,0.137,0.5874,0.2563,0.0537,0.1678,0.0391,0.1905,44.0,neg_sembilan
N.24 Seremban Jaya,2026,33015,0.2507,0.4548,0.2792,0.1301,0.1482,0.0589,0.2602,40.0,neg_sembilan
N.25 Paroi,2026,64998,0.7868,0.0575,0.1441,0.3968,0.0146,0.2001,0.3167,37.0,neg_sembilan
N.26 Chembong,2026,26547,0.8197,0.0595,0.0974,0.3397,0.0132,0.2838,0.2577,40.0,neg_sembilan
N.27 Rantau,2026,34831,0.5609,0.1529,0.2698,0.2292,0.0458,0.1754,0.2502,41.0,neg_sembilan
N.28 Kota,2026,16744,0.8643,0.0631,0.0523,0.2697,0.0124,0.3654,0.192,45.0,neg_sembilan
N.29 Chuah,2026,15129,0.2477,0.5344,0.2105,0.1019,0.1325,0.0859,0.1855,46.0,neg_sembilan
N.30 Lukut,2026,28219,0.2445,0.4795,0.2605,0.1243,0.1619,0.06,0.2595,40.0,neg_sembilan
N.31 Bagan Pinang,2026,27451,0.7565,0.0687,0.0969,0.4275,0.0198,0.1541,0.3958,34.0,neg_sembilan
N.32 Linggi,2026,20677,0.6176,0.1666,0.1734,0.2283,0.0361,0.1834,0.2005,42.0,neg_sembilan
N.33 Sri Tanjung,2026,19590,0.3871,0.3126,0.2708,0.1586,0.0893,0.1233,0.2005,44.0,neg_sembilan
N.34 Gemas,2026,29600,0.8355,0.0773,0.0489,0.3189,0.0199,0.2028,0.2169,40.0,neg_sembilan
N.35 Gemencheh,2026,24916,0.6255,0.2167,0.1506,0.2242,0.0574,0.2264,0.208,43.0,neg_sembilan
N.36 Repah,2026,27910,0.4013,0.41,0.1741,0.1588,0.1256,0.1266,0.2121,42.0,neg_sembilan
