seat,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age
N.01 Pengkalan Hulu,0.7177,0.0851,0.0486,0.3398,0.0226,0.1858,0.2954,37.0
N.02 Temengor,0.6319,0.1697,0.0163,0.3098,0.0468,0.1549,0.3198,37.0
N.03 Kenering,0.8358,0.0978,0.0063,0.369,0.0202,0.2301,0.2637,38.0
N.04 Kota Tampan,0.827,0.1452,0.024,0.3058,0.0296,0.2926,0.213,42.0
N.05 Selama,0.8653,0.0735,0.0578,0.3781,0.0207,0.267,0.2833,39.0
N.06 Kubu Gajah,0.9479,0.0161,0.0309,0.3822,0.0036,0.2958,0.258,40.0
N.07 Batu Kurau,0.8896,0.026,0.0781,0.3646,0.0044,0.2836,0.2667,40.0
N.08 Titi Serong,0.7334,0.1736,0.0842,0.2996,0.0573,0.2295,0.2643,40.0
N.09 Kuala Kurau,0.6328,0.3516,0.0135,0.2299,0.1028,0.2316,0.2249,44.0
N.10 Alor Pongsu,0.7571,0.1029,0.1375,0.3315,0.0297,0.2257,0.2739,40.0
N.11 Gunong Semanggol,0.8665,0.088,0.0403,0.3676,0.0181,0.2732,0.2718,40.0
N.12 Selinsing,0.722,0.1868,0.0887,0.2973,0.0633,0.2243,0.2624,40.0
N.13 Kuala Sepetang,0.6784,0.2349,0.0824,0.3036,0.07,0.2067,0.2716,40.0
N.14 Changkat Jering,0.7254,0.1688,0.0989,0.2973,0.0754,0.231,0.2671,39.0
N.15 Trong,0.7743,0.1328,0.0887,0.3115,0.028,0.2442,0.236,41.0
N.16 Kamunting,0.6706,0.1769,0.1327,0.2971,0.0558,0.1934,0.254,39.0
N.17 Pokok Assam,0.2386,0.6296,0.1117,0.1162,0.1494,0.0585,0.192,46.0
N.18 Aulong,0.2875,0.5252,0.1809,0.1437,0.1589,0.0705,0.241,42.0
N.19 Chenderoh,0.8135,0.1316,0.0503,0.3117,0.0317,0.2864,0.2292,42.0
N.20 Lubok Merbau,0.7533,0.1615,0.0811,0.309,0.038,0.2502,0.2428,41.0
N.21 Lintang,0.5498,0.1601,0.1261,0.2132,0.0407,0.1855,0.2642,41.0
N.22 Jalong,0.168,0.501,0.2831,0.0806,0.1319,0.0426,0.2276,43.0
N.23 Manjoi,0.7078,0.166,0.1169,0.3142,0.064,0.2119,0.2964,39.0
N.24 Hulu Kinta,0.577,0.2501,0.1332,0.2774,0.0896,0.1554,0.2941,38.0
N.25 Canning,0.0934,0.7941,0.0992,0.0414,0.1623,0.0209,0.1433,50.0
N.26 Tebing Tinggi,0.5779,0.3163,0.094,0.2564,0.0967,0.1611,0.2526,40.0
N.27 Pasir Pinji,0.0573,0.9069,0.0317,0.0253,0.1794,0.0156,0.1333,53.0
N.28 Bercham,0.1524,0.6983,0.1431,0.0816,0.2286,0.0329,0.2445,42.0
N.29 Kepayang,0.2115,0.6107,0.1658,0.0919,0.0813,0.0572,0.1392,53.0
N.30 Buntong,0.058,0.4151,0.5201,0.0271,0.0963,0.0146,0.1904,48.0
N.31 Jelapang,0.0527,0.6686,0.273,0.0309,0.2007,0.009,0.2296,44.0
N.32 Menglembu,0.0606,0.8181,0.1156,0.0322,0.2082,0.0135,0.1951,47.0
N.33 Tronoh,0.2666,0.576,0.1496,0.1442,0.1498,0.0622,0.2463,43.0
N.34 Bukit Chandan,0.6911,0.216,0.0631,0.2858,0.0562,0.2275,0.2478,42.0
N.35 Manong,0.7195,0.2048,0.0667,0.2953,0.0545,0.231,0.2422,41.0
N.36 Pengkalan Baharu,0.6942,0.1983,0.1031,0.2675,0.0494,0.2372,0.2257,42.0
N.37 Pantai Remis,0.1739,0.6291,0.1924,0.0863,0.1953,0.0415,0.2397,42.0
N.38 Astaka,0.1461,0.704,0.135,0.0783,0.2271,0.0324,0.2442,43.0
N.39 Belanja,0.8591,0.0484,0.0598,0.2687,0.0088,0.341,0.192,45.0
N.40 Bota,0.963,0.0027,0.0046,0.443,0.0011,0.2868,0.3099,37.0
N.41 Malim Nawar,0.2402,0.6561,0.0972,0.1136,0.1436,0.0666,0.1959,48.0
N.42 Keranji,0.1518,0.7069,0.1165,0.0668,0.1827,0.0419,0.1948,46.0
N.43 Tualang Sekah,0.62,0.2423,0.0912,0.2304,0.0656,0.2246,0.2217,43.0
N.44 Sungai Rapat,0.6105,0.2614,0.1154,0.2743,0.1123,0.1885,0.3047,38.0
N.45 Simpang Pulai,0.3137,0.6016,0.0768,0.156,0.2053,0.0832,0.266,41.0
N.46 Teja,0.3802,0.4223,0.1038,0.1791,0.1132,0.1045,0.2601,42.0
N.47 Chenderiang,0.3488,0.2648,0.133,0.1588,0.0581,0.0998,0.2552,40.0
N.48 Ayer Kuning,0.5558,0.2198,0.1427,0.2254,0.0551,0.1834,0.2376,41.0
N.49 Sungai Manik,0.6646,0.2508,0.0486,0.2785,0.0787,0.2094,0.2541,40.0
N.50 Kampong Gajah,0.9422,0.0053,0.0178,0.4065,0.0009,0.2716,0.2775,38.0
N.51 Pasir Panjang,0.7519,0.0906,0.1398,0.3698,0.0327,0.2065,0.318,37.0
N.52 Pangkor,0.6711,0.2371,0.0568,0.2974,0.0606,0.0978,0.2601,38.0
N.53 Rungkup,0.671,0.2412,0.0776,0.2392,0.0737,0.2383,0.2043,43.0
N.54 Hutan Melintang,0.508,0.1879,0.2878,0.2176,0.0724,0.1532,0.2507,39.0
N.55 Pasir Bedamar,0.1669,0.6846,0.1433,0.071,0.1828,0.0446,0.1838,46.0
