seat,malay_pct,chinese_pct,indian_pct,young_malay_pct,young_chinese_pct,older_malay_pct,youth_pct,median_age
N.01 Sungai Air Tawar,0.8429,0.1224,0.0273,0.3164,0.0384,0.289,0.2273,41.0
N.02 Sabak,0.7955,0.1356,0.0619,0.3219,0.0441,0.2561,0.2434,40.0
N.03 Sungai Panjang,0.8126,0.1612,0.0158,0.353,0.059,0.2382,0.2671,39.0
N.04 Sekinchan,0.4385,0.5167,0.0294,0.1849,0.1594,0.1358,0.216,42.0
N.05 Hulu Bernam,0.7006,0.1488,0.1308,0.2699,0.0366,0.2362,0.2252,42.0
N.06 Kuala Kubu Baharu,0.4609,0.3095,0.1811,0.2179,0.0769,0.1273,0.2491,41.0
N.07 Batang Kali,0.6866,0.13,0.1424,0.368,0.0461,0.1773,0.3557,36.0
N.08 Sungai Burong,0.8324,0.1292,0.025,0.3353,0.045,0.2625,0.2499,40.0
N.09 Permatang,0.6303,0.2157,0.1396,0.253,0.0729,0.201,0.2388,41.0
N.10 Bukit Melawati,0.6017,0.1549,0.2204,0.2669,0.0541,0.174,0.2716,39.0
N.11 Ijok,0.6141,0.1331,0.2436,0.2646,0.0345,0.185,0.2508,40.0
N.12 Jeram,0.7976,0.0689,0.1208,0.4077,0.0225,0.2047,0.3551,36.0
N.13 Kuang,0.7656,0.1005,0.0848,0.3989,0.0319,0.1901,0.3569,36.0
N.14 Rawang,0.3139,0.3904,0.2585,0.1816,0.133,0.0639,0.3126,38.0
N.15 Taman Templer,0.5906,0.2208,0.1469,0.2491,0.0768,0.1893,0.2569,40.0
N.16 Sungai Tua,0.5719,0.1252,0.2327,0.2237,0.0317,0.1794,0.2449,41.0
N.17 Gombak Setia,0.6738,0.1169,0.0938,0.2891,0.0424,0.2025,0.2833,38.0
N.18 Hulu Kelang,0.82,0.0864,0.0401,0.2867,0.0252,0.2955,0.2217,42.0
N.19 Bukit Antarabangsa,0.4672,0.4105,0.0723,0.2044,0.1027,0.1376,0.2384,43.0
