source,title,description,url,published,scraped_at,language,full_text,mentions_johor,mentions_neg_sembilan,mentions_melaka
Free Malaysia Today,"Make all crew report early for pre-flight checks, urges Tiong",The tourism minister wants pilots and cabin crew to report up to two hours early for screening before being allowed to work.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/make-all-crew-report-early-for-pre-flight-checks-urges-tiong,"Sun, 09 Aug 2026 06:29:55 +0000",2026-08-09T15:07:33.978222,en,"Make all crew report early for pre-flight checks, urges Tiong The tourism minister wants pilots and cabin crew to report up to two hours early for screening before being allowed to work.",False,False,False
Free Malaysia Today,Liu ramal BN-PN bercerai PRU16 saingan terbuka,Bekas pemimpin DAP itu berkata Umno dan PAS merebut asas pengundi sama selain masing-masing merasakan cukup kuat tanding lebih kerusi.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/liu-ramal-bn-pn-bercerai-pru16-saingan-terbuka,"Sun, 09 Aug 2026 06:04:00 +0000",2026-08-09T15:07:33.978222,en,Liu ramal BN-PN bercerai PRU16 saingan terbuka Bekas pemimpin DAP itu berkata Umno dan PAS merebut asas pengundi sama selain masing-masing merasakan cukup kuat tanding lebih kerusi.,False,False,False
Free Malaysia Today,"Liu foresees BN-PN pact falling apart, GE16 ‘free for all’","The former DAP leader says with Umno and PAS vying for the same voter base, the split will happen as both feel strong enough to compete for more seats.",https://www.freemalaysiatoday.com/category/nation/2026/08/09/liu-foresees-bn-pn-pact-falling-apart-ge16-free-for-all,"Sun, 09 Aug 2026 05:48:00 +0000",2026-08-09T15:07:33.978222,en,"Liu foresees BN-PN pact falling apart, GE16 ‘free for all’ The former DAP leader says with Umno and PAS vying for the same voter base, the split will happen as both feel strong enough to compete for more seats.",False,False,False
Free Malaysia Today,PH in touch with BN on seat talks for Melaka polls,PH communications director Fahmi Fadzil says Melaka PKR chief Adam Adli has met state BN chairman Ab Rauf Yusoh for several rounds of discussions.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/ph-in-touch-with-bn-on-seat-talks-for-melaka-polls,"Sun, 09 Aug 2026 04:45:00 +0000",2026-08-09T15:07:33.978222,en,PH in touch with BN on seat talks for Melaka polls PH communications director Fahmi Fadzil says Melaka PKR chief Adam Adli has met state BN chairman Ab Rauf Yusoh for several rounds of discussions.,False,True,True
Free Malaysia Today,"Adam Adli jumpa Rauf bincang kerusi PRN Melaka, kata Fahmi",Ketua penerangan PKR terima baik keterbukaan pengerusi BN negeri berbincang dengan mana-mana parti.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/adam-adli-jumpa-rauf-bincang-kerusi-prn-melaka-kata-fahmi,"Sun, 09 Aug 2026 04:33:23 +0000",2026-08-09T15:07:33.978222,en,"Adam Adli jumpa Rauf bincang kerusi PRN Melaka, kata Fahmi Ketua penerangan PKR terima baik keterbukaan pengerusi BN negeri berbincang dengan mana-mana parti.",False,False,True
Free Malaysia Today,"1 kios MyDigital ID rosak di UTC Selangor diperbaiki, boleh digunakan","Satu lagi kios di JPN sedang dalam proses penggantian, kata MyDigital ID.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/1-kios-mydigital-id-rosak-di-utc-selangor-diperbaiki-boleh-digunakan,"Sun, 09 Aug 2026 04:08:00 +0000",2026-08-09T15:07:33.978222,en,"1 kios MyDigital ID rosak di UTC Selangor diperbaiki, boleh digunakan Satu lagi kios di JPN sedang dalam proses penggantian, kata MyDigital ID.",False,False,False
Free Malaysia Today,"Sabah Umno’s priority must be GRS, not PAS, says Salleh",The ex-CM warns against automatically applying an Umno-PAS pact in Sabah just because of developments in West Malaysia.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/sabah-umno-s-priority-must-be-grs-not-pas-says-salleh,"Sun, 09 Aug 2026 03:48:53 +0000",2026-08-09T15:07:33.978222,en,"Sabah Umno’s priority must be GRS, not PAS, says Salleh The ex-CM warns against automatically applying an Umno-PAS pact in Sabah just because of developments in West Malaysia.",False,True,False
Free Malaysia Today,Peguam seru siasat 4WD gilis mati anak anjing,Lawyers for Animal Rights berkata kenderaan berwarna putih itu menggilis anak anjing sebanyak dua kali di kawasan parkir.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/peguam-seru-siasat-4wd-gilis-mati-anak-anjing,"Sun, 09 Aug 2026 03:38:01 +0000",2026-08-09T15:07:33.978222,en,Peguam seru siasat 4WD gilis mati anak anjing Lawyers for Animal Rights berkata kenderaan berwarna putih itu menggilis anak anjing sebanyak dua kali di kawasan parkir.,False,False,False
Free Malaysia Today,"Penyatuan politik Melayu mungkin tiada tarikan di Sabah, Sarawak, kata Salleh",Bendahari Umno Sabah itu berkata persefahaman Umno-PAS itu mungkin berkesan di Semenanjung tetapi tak sesuai di Sabah dan Sarawak.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/penyatuan-politik-melayu-mungkin-tiada-tarikan-di-sabah-sarawak-kata-salleh,"Sun, 09 Aug 2026 03:33:14 +0000",2026-08-09T15:07:33.978222,en,"Penyatuan politik Melayu mungkin tiada tarikan di Sabah, Sarawak, kata Salleh Bendahari Umno Sabah itu berkata persefahaman Umno-PAS itu mungkin berkesan di Semenanjung tetapi tak sesuai di Sabah dan Sarawak.",False,False,False
Free Malaysia Today,"Avsec screening focuses on arms, not contraband, admits minister","Home minister Saifuddin Nasution Ismail admits this is an area that needs improvement, with the scope of baggage screening to be expanded.",https://www.freemalaysiatoday.com/category/nation/2026/08/09/avsec-screening-focuses-on-arms-not-contraband-admits-minister,"Sun, 09 Aug 2026 03:30:23 +0000",2026-08-09T15:07:33.978222,en,"Avsec screening focuses on arms, not contraband, admits minister Home minister Saifuddin Nasution Ismail admits this is an area that needs improvement, with the scope of baggage screening to be expanded.",False,False,False
