source,source_lean,title,description,url,published,scraped_at,language,full_text,mentions_johor,mentions_neg_sembilan,mentions_melaka
Free Malaysia Today,independent_left,"Netanyahu rejects US Gaza plan, vows no pullout until Hamas disarms","After days of criticism, the Israeli prime minister rejected the plan amid pressure from his right-wing supporters ahead of elections.",https://www.freemalaysiatoday.com/category/world/2026/08/09/netanyahu-rejects-us-gaza-plan-vows-no-pullout-until-hamas-disarms,"Sun, 09 Aug 2026 11:39:40 +0000",2026-08-09T20:41:36.988202,en,"Netanyahu rejects US Gaza plan, vows no pullout until Hamas disarms After days of criticism, the Israeli prime minister rejected the plan amid pressure from his right-wing supporters ahead of elections.",False,False,False
Free Malaysia Today,independent_left,Kerajaan akan terus perkasa SJKT,"SJKT bukan sekadar institusi pendidikan, malah main peranan penting pupuk pembelajaran, budaya dan identiti dalam kalangan murid, kata Gobind Singh Deo.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/kerajaan-akan-terus-perkasa-sjkt,"Sun, 09 Aug 2026 11:36:48 +0000",2026-08-09T20:41:36.988202,en,"Kerajaan akan terus perkasa SJKT SJKT bukan sekadar institusi pendidikan, malah main peranan penting pupuk pembelajaran, budaya dan identiti dalam kalangan murid, kata Gobind Singh Deo.",False,False,False
Free Malaysia Today,independent_left,209 foreign hostesses nabbed in raids on Johor entertainment joints,"Police said the women were from Vietnam (93), Thailand (87), Laos (11), Indonesia (7), Myanmar (6), and the Philippines (5).",https://www.freemalaysiatoday.com/category/nation/2026/08/09/209-foreign-hostesses-nabbed-in-raids-on-johor-entertainment-joints,"Sun, 09 Aug 2026 11:32:00 +0000",2026-08-09T20:41:36.988202,en,"209 foreign hostesses nabbed in raids on Johor entertainment joints Police said the women were from Vietnam (93), Thailand (87), Laos (11), Indonesia (7), Myanmar (6), and the Philippines (5).",True,False,False
Free Malaysia Today,independent_left,"Warisan, STAR dan KDM bincang PRU16",Presiden Warisan kata parti-parti Sabah harus memastikan 25 kerusi Parlimen di negeri itu dikuasai oleh parti tempatan.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/warisan-star-dan-kdm-bincang-pru16,"Sun, 09 Aug 2026 11:09:18 +0000",2026-08-09T20:41:36.988202,en,"Warisan, STAR dan KDM bincang PRU16 Presiden Warisan kata parti-parti Sabah harus memastikan 25 kerusi Parlimen di negeri itu dikuasai oleh parti tempatan.",False,False,False
Free Malaysia Today,independent_left,"Govt support for Tamil schools will continue, says Gobind",The digital minister says every child deserves the opportunity to develop their potential.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/govt-support-for-tamil-schools-will-continue-says-gobind,"Sun, 09 Aug 2026 10:57:00 +0000",2026-08-09T20:41:36.988202,en,"Govt support for Tamil schools will continue, says Gobind The digital minister says every child deserves the opportunity to develop their potential.",False,False,False
Free Malaysia Today,independent_left,"Warisan in talks with STAR, KDM on GE16 pact",Shafie Apdal says cooperation among Sabah-based parties could ensure more of the state’s 25 parliamentary seats are held by local parties.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/warisan-in-talks-with-star-kdm-on-ge16-pact,"Sun, 09 Aug 2026 09:39:00 +0000",2026-08-09T20:41:36.989265,en,"Warisan in talks with STAR, KDM on GE16 pact Shafie Apdal says cooperation among Sabah-based parties could ensure more of the state’s 25 parliamentary seats are held by local parties.",False,False,False
Free Malaysia Today,independent_left,"Kritiklah DAP, tetapi bahaya guna label ‘musuh Islam’, kata Marzuki","Bekas pembantu Muhyiddin Yassin berkata, tindak momokkan DAP dan penyokongnya taktik bahaya tingkat ketegangan.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/kritiklah-dap-tetapi-bahaya-guna-label-musuh-islam-kata-marzuki,"Sun, 09 Aug 2026 09:31:45 +0000",2026-08-09T20:41:36.989784,en,"Kritiklah DAP, tetapi bahaya guna label ‘musuh Islam’, kata Marzuki Bekas pembantu Muhyiddin Yassin berkata, tindak momokkan DAP dan penyokongnya taktik bahaya tingkat ketegangan.",False,False,False
Free Malaysia Today,independent_left,"Criticise DAP but labelling it ‘enemy of Islam’ is dangerous, says Marzuki",Muhyiddin Yassin's former aide warns that demonising the party and its supporters as enemies of Islam is unhealthy for the nation.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/criticise-dap-but-labelling-it-enemy-of-islam-is-dangerous-says-marzuki,"Sun, 09 Aug 2026 09:00:00 +0000",2026-08-09T20:41:36.989784,en,"Criticise DAP but labelling it ‘enemy of Islam’ is dangerous, says Marzuki Muhyiddin Yassin's former aide warns that demonising the party and its supporters as enemies of Islam is unhealthy for the nation.",False,False,False
Free Malaysia Today,independent_left,Taiwan’s 2027 defence spending to rise 16%,"The proposed budget of more than US$31 billion, to be unveiled on Aug 20, includes funding for the coast guard, veterans and special projects.",https://www.freemalaysiatoday.com/category/world/2026/08/09/taiwan-s-2027-defence-spending-to-rise-16,"Sun, 09 Aug 2026 08:41:51 +0000",2026-08-09T20:41:36.990224,en,"Taiwan’s 2027 defence spending to rise 16% The proposed budget of more than US$31 billion, to be unveiled on Aug 20, includes funding for the coast guard, veterans and special projects.",False,False,False
Free Malaysia Today,independent_left,"Belum bincang PRN Melaka, tetapi PN terbuka runding dengan BN","Pengerusi PN berkata, ruang untuk berbincang masih terbuka luas, memandangkan tarikh PRN belum ditetapkan.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/belum-bincang-prn-melaka-tetapi-pn-terbuka-runding-dengan-bn,"Sun, 09 Aug 2026 07:57:45 +0000",2026-08-09T20:41:36.990224,en,"Belum bincang PRN Melaka, tetapi PN terbuka runding dengan BN Pengerusi PN berkata, ruang untuk berbincang masih terbuka luas, memandangkan tarikh PRN belum ditetapkan.",False,False,True
Free Malaysia Today,independent_left,"PN open to seat swaps with BN, says Samsuri",The PN chairman says there is plenty of room for discussion since the Melaka state election hasn't even been called yet.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/pn-open-to-seat-swaps-with-bn-says-samsuri,"Sun, 09 Aug 2026 07:53:00 +0000",2026-08-09T20:41:36.990224,en,"PN open to seat swaps with BN, says Samsuri The PN chairman says there is plenty of room for discussion since the Melaka state election hasn't even been called yet.",False,False,True
Free Malaysia Today,independent_left,Adun Seberang Takir letak jawatan timbalan ketua Bersatu Terengganu,Khazan Che Mat tidak berhasrat memangku jawatan ketua Bersatu Terengganu selepas Razali Idris meletak jawatan.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/adun-seberang-takir-letak-jawatan-timbalan-pengerusi-bersatu-terengganu,"Sun, 09 Aug 2026 07:24:00 +0000",2026-08-09T20:41:36.990224,en,Adun Seberang Takir letak jawatan timbalan ketua Bersatu Terengganu Khazan Che Mat tidak berhasrat memangku jawatan ketua Bersatu Terengganu selepas Razali Idris meletak jawatan.,False,False,False
Free Malaysia Today,independent_left,Now Terengganu Bersatu No 2 quits post,Khazan Che Mat follows in Razali Idris' footsteps instead of taking over as acting Terengganu Bersatu chief.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/now-terengganu-bersatu-no-2-quits-post,"Sun, 09 Aug 2026 07:21:00 +0000",2026-08-09T20:41:36.990224,en,Now Terengganu Bersatu No 2 quits post Khazan Che Mat follows in Razali Idris' footsteps instead of taking over as acting Terengganu Bersatu chief.,False,False,False
Free Malaysia Today,independent_left,"Bersatu masih anggota PN, kata Samsuri",Kenyataan pengerusi PN itu bercanggah dengan Presiden PAS Hadi Awang yang dakwa keanggotaan Bersatu dalam PN ‘tergugur dengan sendiri’.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/bersatu-masih-anggota-pn-kata-samsuri,"Sun, 09 Aug 2026 07:02:16 +0000",2026-08-09T20:41:36.990224,en,"Bersatu masih anggota PN, kata Samsuri Kenyataan pengerusi PN itu bercanggah dengan Presiden PAS Hadi Awang yang dakwa keanggotaan Bersatu dalam PN ‘tergugur dengan sendiri’.",False,False,False
Free Malaysia Today,independent_left,"Samsuri contradicts Hadi, says Bersatu still in PN",The PN chairman says Bersatu’s position in PN remains unchanged amid doubts about its membership after voicing its intention to form a new coalition.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/samsuri-contradicts-hadi-says-bersatu-still-in-pn,"Sun, 09 Aug 2026 06:42:00 +0000",2026-08-09T20:41:36.990224,en,"Samsuri contradicts Hadi, says Bersatu still in PN The PN chairman says Bersatu’s position in PN remains unchanged amid doubts about its membership after voicing its intention to form a new coalition.",False,False,False
Free Malaysia Today,independent_left,"Make all crew report early for pre-flight checks, urges Tiong",The tourism minister wants pilots and cabin crew to report up to two hours early for screening before being allowed to work.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/make-all-crew-report-early-for-pre-flight-checks-urges-tiong,"Sun, 09 Aug 2026 06:29:55 +0000",2026-08-09T20:41:36.990224,en,"Make all crew report early for pre-flight checks, urges Tiong The tourism minister wants pilots and cabin crew to report up to two hours early for screening before being allowed to work.",False,False,False
Free Malaysia Today,independent_left,Liu ramal BN-PN bercerai PRU16 saingan terbuka,Bekas pemimpin DAP itu berkata Umno dan PAS merebut asas pengundi sama selain masing-masing merasakan cukup kuat tanding lebih kerusi.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/liu-ramal-bn-pn-bercerai-pru16-saingan-terbuka,"Sun, 09 Aug 2026 06:04:00 +0000",2026-08-09T20:41:36.991267,en,Liu ramal BN-PN bercerai PRU16 saingan terbuka Bekas pemimpin DAP itu berkata Umno dan PAS merebut asas pengundi sama selain masing-masing merasakan cukup kuat tanding lebih kerusi.,False,False,False
Free Malaysia Today,independent_left,"Liu foresees BN-PN pact falling apart, GE16 ‘free for all’","The former DAP leader says with Umno and PAS vying for the same voter base, the split will happen as both feel strong enough to compete for more seats.",https://www.freemalaysiatoday.com/category/nation/2026/08/09/liu-foresees-bn-pn-pact-falling-apart-ge16-free-for-all,"Sun, 09 Aug 2026 05:48:00 +0000",2026-08-09T20:41:36.991267,en,"Liu foresees BN-PN pact falling apart, GE16 ‘free for all’ The former DAP leader says with Umno and PAS vying for the same voter base, the split will happen as both feel strong enough to compete for more seats.",False,False,False
Free Malaysia Today,independent_left,PH in touch with BN on seat talks for Melaka polls,PH communications director Fahmi Fadzil says Melaka PKR chief Adam Adli has met state BN chairman Ab Rauf Yusoh for several rounds of discussions.,https://www.freemalaysiatoday.com/category/nation/2026/08/09/ph-in-touch-with-bn-on-seat-talks-for-melaka-polls,"Sun, 09 Aug 2026 04:45:00 +0000",2026-08-09T20:41:36.991267,en,PH in touch with BN on seat talks for Melaka polls PH communications director Fahmi Fadzil says Melaka PKR chief Adam Adli has met state BN chairman Ab Rauf Yusoh for several rounds of discussions.,False,False,True
Free Malaysia Today,independent_left,"Adam Adli jumpa Rauf bincang kerusi PRN Melaka, kata Fahmi",Ketua penerangan PKR terima baik keterbukaan pengerusi BN negeri berbincang dengan mana-mana parti.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/09/adam-adli-jumpa-rauf-bincang-kerusi-prn-melaka-kata-fahmi,"Sun, 09 Aug 2026 04:33:23 +0000",2026-08-09T20:41:36.991267,en,"Adam Adli jumpa Rauf bincang kerusi PRN Melaka, kata Fahmi Ketua penerangan PKR terima baik keterbukaan pengerusi BN negeri berbincang dengan mana-mana parti.",False,False,True
Malay Mail,centrist,"National unity minister says Orang Asal heritage part of Malaysia’s national identity, not separate","KUALA LUMPUR, Aug 9 &mdash; The heritage of Malaysia&rsquo;s indigenous peoples (Orang Asal) is part of the country&rsqu...",https://www.malaymail.com/news/malaysia/2026/08/09/national-unity-minister-says-orang-asal-heritage-part-of-malaysias-national-identity-not-separate/230732,"Sun, 09 Aug 2026 20:08:23 +0800",2026-08-09T20:41:39.741613,en,"National unity minister says Orang Asal heritage part of Malaysia’s national identity, not separate KUALA LUMPUR, Aug 9 &mdash; The heritage of Malaysia&rsquo;s indigenous peoples (Orang Asal) is part of the country&rsqu...",False,False,False
Malay Mail,centrist,"Melaka seat swaps on the table for Perikatan, Samsuri tells BN","TAIPING, Aug 9 &mdash; Perikatan Nasional (PN) is open to talks with Barisan Nasional (BN), including possible seat swap...",https://www.malaymail.com/news/malaysia/2026/08/09/melaka-seat-swaps-on-the-table-for-perikatan-samsuri-tells-bn/230717,"Sun, 09 Aug 2026 16:52:32 +0800",2026-08-09T20:41:39.742611,en,"Melaka seat swaps on the table for Perikatan, Samsuri tells BN TAIPING, Aug 9 &mdash; Perikatan Nasional (PN) is open to talks with Barisan Nasional (BN), including possible seat swap...",False,False,True
Malay Mail,centrist,"Melaka Pakatan open to talks, coalition welcomes negotiations ahead state election","MELAKA, Aug 9 &mdash; Melaka Pakatan Harapan (PH) is open to negotiations with any party for the upcoming Melaka State E...",https://www.malaymail.com/news/malaysia/2026/08/09/melaka-pakatan-open-to-talks-coalition-welcomes-negotiations-ahead-state-election/230716,"Sun, 09 Aug 2026 16:10:22 +0800",2026-08-09T20:41:39.742611,en,"Melaka Pakatan open to talks, coalition welcomes negotiations ahead state election MELAKA, Aug 9 &mdash; Melaka Pakatan Harapan (PH) is open to negotiations with any party for the upcoming Melaka State E...",False,False,True
Malay Mail,centrist,Samsuri says Bersatu remains in Perikatan despite Hadi’s claim,"TAIPING, Aug 9 &mdash; Bersatu remains a member of Perikatan Nasional (PN) despite claims that its membership had automa...",https://www.malaymail.com/news/malaysia/2026/08/09/samsuri-says-bersatu-remains-in-perikatan-despite-hadis-claim/230711,"Sun, 09 Aug 2026 15:36:39 +0800",2026-08-09T20:41:39.742611,en,"Samsuri says Bersatu remains in Perikatan despite Hadi’s claim TAIPING, Aug 9 &mdash; Bersatu remains a member of Perikatan Nasional (PN) despite claims that its membership had automa...",False,False,False
Malay Mail,centrist,"Umno‑PAS pact not for Sabah, Salleh Keruak says politics driven by autonomy rights","KOTA KINABALU, Aug 9 &mdash; Any political understanding between Umno and PAS that may work in Peninsular Malaysia may n...",https://www.malaymail.com/news/malaysia/2026/08/09/umnopas-pact-not-for-sabah-salleh-keruak-says-politics-driven-by-autonomy-rights/230707,"Sun, 09 Aug 2026 15:23:34 +0800",2026-08-09T20:41:39.742611,en,"Umno‑PAS pact not for Sabah, Salleh Keruak says politics driven by autonomy rights KOTA KINABALU, Aug 9 &mdash; Any political understanding between Umno and PAS that may work in Peninsular Malaysia may n...",False,False,False
