source,source_lean,title,description,url,published,scraped_at,language,full_text,mentions_johor,mentions_neg_sembilan,mentions_melaka
Free Malaysia Today,independent_left,Taiwan’s lawmakers pass 2026 budget after record delay,"Opposition parties, which hold the most parliamentary seats, agree to this year's budget nearly eight months after the spending plan was due for approval.",https://www.freemalaysiatoday.com/category/business/2026/08/14/taiwan-s-lawmakers-pass-2026-budget-after-record-delay,"Fri, 14 Aug 2026 12:41:00 +0000",2026-08-14T20:51:23.997203,en,"Taiwan’s lawmakers pass 2026 budget after record delay Opposition parties, which hold the most parliamentary seats, agree to this year's budget nearly eight months after the spending plan was due for approval.",False,False,False
Free Malaysia Today,independent_left,"Anwar ‘saved’ Umno only to be betrayed, says PKR Youth leader","Huraimi Husri, from the FT chapter, says the PKR president should be remembered as a friend who helped Umno when it was struggling after GE15.",https://www.freemalaysiatoday.com/category/nation/2026/08/14/anwar-saved-umno-only-to-be-betrayed-says-pkr-youth-leader,"Fri, 14 Aug 2026 11:52:00 +0000",2026-08-14T20:51:23.997203,en,"Anwar ‘saved’ Umno only to be betrayed, says PKR Youth leader Huraimi Husri, from the FT chapter, says the PKR president should be remembered as a friend who helped Umno when it was struggling after GE15.",False,False,False
Free Malaysia Today,independent_left,Zambia suspends vote counting nationwide citing violence,"President Hakainde Hichilema faced off against Brian Mundubile, a 55-year-old former minister in the previous Patriotic Front (PF) government in Thursday's vote.",https://www.freemalaysiatoday.com/category/world/2026/08/14/zambia-suspends-vote-counting-nationwide-citing-violence,"Fri, 14 Aug 2026 11:30:00 +0000",2026-08-14T20:51:23.997203,en,"Zambia suspends vote counting nationwide citing violence President Hakainde Hichilema faced off against Brian Mundubile, a 55-year-old former minister in the previous Patriotic Front (PF) government in Thursday's vote.",False,True,False
Free Malaysia Today,independent_left,"1,000 Myanmar refugees identified for repatriation can be sent back, says Tok Mat","The foreign minister says there is no need to wait for 5,000 to leave together.",https://www.freemalaysiatoday.com/category/highlight/2026/08/14/1-000-myanmar-refugees-identified-for-repatriation-can-be-sent-back-says-tok-mat,"Fri, 14 Aug 2026 11:12:00 +0000",2026-08-14T20:51:23.997203,en,"1,000 Myanmar refugees identified for repatriation can be sent back, says Tok Mat The foreign minister says there is no need to wait for 5,000 to leave together.",False,False,False
Free Malaysia Today,independent_left,"Anwar dikhianati selepas selamatkan Umno, kata Pemuda PKR",Wakil Pemuda Wilayah Persekutuan berkata perdana menteri wajar dikenang sebagai sahabat yang membantu Umno ketika parti itu berdepan kesukaran selepas PRU15.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/14/anwar-dikhianati-selepas-selamatkan-umno-kata-pemuda-pkr,"Fri, 14 Aug 2026 11:06:14 +0000",2026-08-14T20:51:23.997203,en,"Anwar dikhianati selepas selamatkan Umno, kata Pemuda PKR Wakil Pemuda Wilayah Persekutuan berkata perdana menteri wajar dikenang sebagai sahabat yang membantu Umno ketika parti itu berdepan kesukaran selepas PRU15.",False,False,False
Free Malaysia Today,independent_left,"Ex-navy man claims trial to sexually abusing son, daughter","The 40-year-old from Melaka, now unemployed, is also accused of beating his two children and wife.",https://www.freemalaysiatoday.com/category/nation/2026/08/14/ex-navy-man-claims-trial-to-sexually-abusing-children,"Fri, 14 Aug 2026 10:58:00 +0000",2026-08-14T20:51:23.997203,en,"Ex-navy man claims trial to sexually abusing son, daughter The 40-year-old from Melaka, now unemployed, is also accused of beating his two children and wife.",False,False,True
Free Malaysia Today,independent_left,"Make fewer controversial statements, PKR Youth leader tells DAP",Penang PKR Youth exco member Fadli Roslan says all parties in the unity government should focus on developing the country rather than creating tensions among themselves.,https://www.freemalaysiatoday.com/category/nation/2026/08/14/make-fewer-controversial-statements-pkr-leader-tells-dap,"Fri, 14 Aug 2026 10:47:00 +0000",2026-08-14T20:51:23.997203,en,"Make fewer controversial statements, PKR Youth leader tells DAP Penang PKR Youth exco member Fadli Roslan says all parties in the unity government should focus on developing the country rather than creating tensions among themselves.",False,True,False
Free Malaysia Today,independent_left,MediAsas to offer more affordable private medical insurance,BNM deputy governor Aznan Abdul Aziz says the new plan aims to make private healthcare coverage more accessible and sustainable.,https://www.freemalaysiatoday.com/category/nation/2026/08/14/mediasas-to-offer-more-affordable-private-medical-insurance,"Fri, 14 Aug 2026 10:44:00 +0000",2026-08-14T20:51:23.997203,en,MediAsas to offer more affordable private medical insurance BNM deputy governor Aznan Abdul Aziz says the new plan aims to make private healthcare coverage more accessible and sustainable.,False,True,False
Free Malaysia Today,independent_left,"Kurangkan kenyataan kontroversi, Pemuda PKR P Pinang beritahu DAP","Fadli Roslan berkata, semua pihak dalam kerajaan perlu tumpu usaha bangun negara, bukan cetus ketegangan sesama parti.",https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/14/kurangkan-kenyataan-kontroversi-pemuda-pkr-p-pinang-beritahu-dap,"Fri, 14 Aug 2026 10:27:00 +0000",2026-08-14T20:51:23.997203,en,"Kurangkan kenyataan kontroversi, Pemuda PKR P Pinang beritahu DAP Fadli Roslan berkata, semua pihak dalam kerajaan perlu tumpu usaha bangun negara, bukan cetus ketegangan sesama parti.",False,False,False
Free Malaysia Today,independent_left,Isu TH: Asyraf Wajdi arah peguam serah notis kepada warganet,Setiausaha Agung Umno Asyraf Wajdi Dusuki mengumumkan tindakan terhadap individu yang didakwa berniat jahat melalui penyebaran dakwaan tidak benar.,https://www.freemalaysiatoday.com/category/bahasa/tempatan/2026/08/14/isu-th-asyraf-wajdi-arah-peguam-serah-notis-kepada-warga-net,"Fri, 14 Aug 2026 10:20:00 +0000",2026-08-14T20:51:23.997203,en,Isu TH: Asyraf Wajdi arah peguam serah notis kepada warganet Setiausaha Agung Umno Asyraf Wajdi Dusuki mengumumkan tindakan terhadap individu yang didakwa berniat jahat melalui penyebaran dakwaan tidak benar.,False,False,False
